1f, 00000001, fffffffe,                 1172,                  172
1f, 00000000, 00000000,                 1337,                  165
01, edeacadb, 12153524,                 1508,                  171
01, 00000000, 00000000,                 1672,                  164
03, 7b7b29f6, 8484d609,                 1842,                  170
03, 00000000, 00000000,                 2007,                  165
0d, f94684f2, 06b97b0d,                 2177,                  170
0d, 00000000, 00000000,                 2341,                  164
12, 4d3d7b9a, b2c28465,                 2512,                  171
12, 00000000, 00000000,                 2677,                  165
0d, ff0c1cfe, 00f3e301,                 2848,                  171
0d, 00000000, 00000000,                 3013,                  165
1d, c4dc0e89, 3b23f176,                 3184,                  171
1d, 00000000, 00000000,                 3349,                  165
0c, 892ba812, 76d457ed,                 3519,                  170
0c, 00000000, 00000000,                 3684,                  165
15, 00000001, fffffffe,                 3854,                  170
15, 00000000, 00000000,                 4019,                  165
08, 00000001, fffffffe,                 4189,                  170
08, 00000000, 00000000,                 4354,                  165
10, 00000001, fffffffe,                 4524,                  170
10, 00000000, 00000000,                 4689,                  165
11, 00000001, fffffffe,                 4858,                  169
11, 00000000, 00000000,                 5023,                  165
1a, 00000001, fffffffe,                 5192,                  169
1a, 00000000, 00000000,                 5357,                  165
02, 00000001, fffffffe,                 5527,                  170
02, 00000000, 00000000,                 5692,                  165
1a, 00000001, fffffffe,                 5862,                  170
1a, 00000000, 00000000,                 6027,                  165
15, 00000001, fffffffe,                 6196,                  169
15, 00000000, 00000000,                 6361,                  165
1f, 00000001, fffffffe,                 6530,                  169
1f, 00000000, 00000000,                 6695,                  165
1d, aa87ba55, 557845aa,                 6865,                  170
1d, 00000000, 00000000,                 7029,                  164
0c, 892ba812, 76d457ed,                 7199,                  170
0c, 00000000, 00000000,                 7363,                  164
13, 7943c7f2, 86bc380d,                 7534,                  171
13, 00000000, 00000000,                 7699,                  165
15, ca602294, 359fdd6b,                 7869,                  170
15, 00000000, 00000000,                 8034,                  165
0e, 7ee8b5fd, 81174a02,                 8205,                  171
0e, 00000000, 00000000,                 8370,                  165
0f, f10016e2, 0effe91d,                 8540,                  170
0f, 00000000, 00000000,                 8705,                  165
0a, ee7bb6dc, 11844923,                 8875,                  170
0a, 00000000, 00000000,                 9039,                  164
1c, 1a8cf535, e5730aca,                 9210,                  171
1c, 00000000, 00000000,                 9374,                  164
07, 00000001, fffffffe,                 9544,                  170
07, 00000000, 00000000,                 9709,                  165
16, 00000001, fffffffe,                 9879,                  170
16, 00000000, 00000000,                10044,                  165
09, c3df0c87, 3c20f378,                10215,                  171
09, 00000000, 00000000,                10380,                  165
11, 00000001, fffffffe,                10550,                  170
11, 00000000, 00000000,                10715,                  165
15, ca602294, 359fdd6b,                10885,                  170
15, 00000000, 00000000,                11049,                  164
0e, 9cb40639, 634bf9c6,                11219,                  170
0e, 00000000, 00000000,                11384,                  165
10, 00000001, fffffffe,                11554,                  170
10, 00000000, 00000000,                11719,                  165
05, 6954a7d2, 96ab582d,                11890,                  171
05, 00000000, 00000000,                12055,                  165
0a, 218afd43, de7502bc,                12225,                  170
0a, 00000000, 00000000,                12390,                  165
19, 8726640e, 78d99bf1,                12561,                  171
19, 00000000, 00000000,                12726,                  165
