R_Addr, R1[31:0], R0[31:0], total_time(ps), read_delay(ps)
7f, 00000000, 00000000,                 1404,                  404
7f, 00000000, 00000000,                 1791,                  387
01, 12153524, edeacadb,                 2192,                  401
01, 00000000, 00000000,                 2575,                  383
72, ffffffff, 00000000,                 2979,                  404
72, 00000000, 00000000,                 3365,                  386
12, b2c28465, 4d3d7b9a,                 3765,                  400
12, 00000000, 00000000,                 4150,                  385
42, fffffffe, 00000001,                 4553,                  403
42, 00000000, 00000000,                 4937,                  384
0c, 76d457ed, 892ba812,                 5336,                  399
0c, 00000000, 00000000,                 5719,                  383
55, fffffffe, 00000001,                 6123,                  404
55, 00000000, 00000000,                 6509,                  386
08, fffffffe, 00000001,                 6907,                  398
08, 00000000, 00000000,                 7289,                  382
