W_Addr, W1[31:0], W0[31:0], total_time(ps), write_delay(ps)
01, 12153524, edeacadb,                 1164,                  164
01, 00000000, 00000000,                 1350,                  186
63, 8484d609, 7b7b29f6,                 1516,                  166
63, 00000000, 00000000,                 1705,                  189
0d, 06b97b0d, f94684f2,                 1877,                  172
0d, 00000000, 00000000,                 2063,                  186
12, b2c28465, 4d3d7b9a,                 2229,                  166
12, 00000000, 00000000,                 2416,                  187
0d, 00f3e301, ff0c1cfe,                 2588,                  172
0d, 00000000, 00000000,                 2774,                  186
3d, 3b23f176, c4dc0e89,                 2942,                  168
3d, 00000000, 00000000,                 3128,                  186
0c, 76d457ed, 892ba812,                 3294,                  166
0c, 00000000, 00000000,                 3478,                  184
46, 7cfde9f9, 83021606,                 3646,                  168
46, 00000000, 00000000,                 3835,                  189
2a, e2f784c5, 1d087b3a,                 4003,                  168
2a, 00000000, 00000000,                 4191,                  188
77, 72aff7e5, 8d50081a,                 4360,                  169
77, 00000000, 00000000,                 4549,                  189
0f, 8932d612, 76cd29ed,                 4714,                  165
0f, 00000000, 00000000,                 4901,                  187
4e, 793069f2, 86cf960d,                 5069,                  168
4e, 00000000, 00000000,                 5257,                  188
45, f4007ae8, 0bff8517,                 5426,                  169
45, 00000000, 00000000,                 5613,                  187
3d, 2e58495c, d1a7b6a3,                 5782,                  169
3d, 00000000, 00000000,                 5969,                  187
65, 96ab582d, 6954a7d2,                 6138,                  169
65, 00000000, 00000000,                 6326,                  188
0a, b1ef6263, 4e109d9c,                 6494,                  168
0a, 00000000, 00000000,                 6681,                  187
20, c03b2280, 3fc4dd7f,                 6849,                  168
20, 00000000, 00000000,                 7035,                  186
1d, 557845aa, aa87ba55,                 7207,                  172
1d, 00000000, 00000000,                 7393,                  186
13, cb203e96, 34dfc169,                 7557,                  164
13, 00000000, 00000000,                 7744,                  187
53, 86bc380d, 7943c7f2,                 7910,                  166
53, 00000000, 00000000,                 8099,                  189
55, 359fdd6b, ca602294,                 8266,                  167
55, 00000000, 00000000,                 8453,                  187
2e, 81174a02, 7ee8b5fd,                 8621,                  168
2e, 00000000, 00000000,                 8809,                  188
4f, 0effe91d, f10016e2,                 8976,                  167
4f, 00000000, 00000000,                 9164,                  188
0a, 11844923, ee7bb6dc,                 9329,                  165
0a, 00000000, 00000000,                 9516,                  187
3c, e5730aca, 1a8cf535,                 9686,                  170
3c, 00000000, 00000000,                 9871,                  185
0a, 7968bdf2, 8697420d,                10036,                  165
0a, 00000000, 00000000,                10223,                  187
58, 20c4b341, df3b4cbe,                10394,                  171
58, 00000000, 00000000,                10580,                  186
09, 3c20f378, c3df0c87,                10746,                  166
09, 00000000, 00000000,                10932,                  186
36, 75c50deb, 8a3af214,                11102,                  170
36, 00000000, 00000000,                11290,                  188
2e, 634bf9c6, 9cb40639,                11456,                  166
2e, 00000000, 00000000,                11644,                  188
2a, de7502bc, 218afd43,                11808,                  164
2a, 00000000, 00000000,                11996,                  188
71, 85d79a0b, 7a2865f4,                12167,                  171
71, 00000000, 00000000,                12355,                  188
4f, 42f24185, bd0dbe7a,                12525,                  170
4f, 00000000, 00000000,                12714,                  189
3a, 9dcc603b, 62339fc4,                12881,                  167
