Vdd [mv],Temp [C],Leakage [mA],Leakage [mW],peak Current [mA],peakPwr [mW],rDelay [ps],rEnergy [pJ],rNull [ps],rnullEnergy [pJ],rCycle Total [ps],rCycleEgy Total [pJ],rCycle EDP [pJ*ps],wDelay [ps],Wenergy [pJ],Wnull [ps],WnullEnergy [pJ],WCycle Total [ps],WCycleEgy Total [pJ],wCycle EDP [pJ*ps]
125,30,0.0666913,0.00833641,0.086252,0.0107815,71421,0.591207,47779,0.398443,119200,0.98965,117966,81982,0.634771,29220,0.262794,111202,0.897565,99811
150,30,0.0761361,0.0114204,0.0999854,0.0149978,39233,0.446681,23721,0.274572,62954,0.721253,45405.8,42952,0.465458,14535,0.196695,57487,0.662153,38065.2
175,30,0.0832554,0.0145697,0.112341,0.0196596,21020,0.312732,12682,0.193513,33702,0.506245,17061.5,22556,0.327994,6949,0.14534,29505,0.473334,13965.7
200,30,0.0897307,0.0179461,0.125124,0.0250247,11616,0.225297,6949,0.139884,18565,0.365181,6779.58,12261,0.237195,3795,0.129688,16056,0.366883,5890.68
250,30,0.103327,0.0258318,0.230797,0.0576992,4136,0.141766,2490,0.0903132,6626,0.232079,1537.76,4322,0.149904,1352,0.152733,5674,0.302637,1717.16
275,30,0.110675,0.0304357,0.324556,0.0892529,2744,0.127685,1673,0.0832955,4417,0.210981,931.902,2877,0.135995,906,0.191681,3783,0.327676,1239.6
300,30,0.118796,0.0356387,0.446251,0.133875,1953,0.12328,1211,0.0827495,3164,0.20603,651.878,2060,0.132399,655,0.249668,2715,0.382066,1037.31
325,30,0.127603,0.0414708,0.596652,0.193912,1476,0.125147,931,0.0862951,2407,0.211442,508.941,1565,0.13494,504,0.327488,2069,0.462429,956.765
350,30,0.137009,0.047953,0.775835,0.271542,1170,0.130843,752,0.092801,1922,0.223644,429.844,1248,0.141986,408,0.425894,1656,0.56788,940.409
400,30,0.157626,0.0630504,1.17085,0.468342,816,0.150604,543,0.111831,1359,0.262435,356.649,879,0.164351,295,0.687282,1174,0.851633,999.817
450,30,0.180839,0.0813777,1.68437,0.757967,629,0.179202,430,0.136879,1059,0.316081,334.73,682,0.195953,233,1.03841,915,1.23437,1129.44
475,30,0.193506,0.0919155,1.93083,0.917144,567,0.19616,393,0.151485,960,0.347645,333.74,616,0.214582,213,1.24916,829,1.46374,1213.44
500,30,0.206931,0.103466,2.21065,1.10532,519,0.215556,363,0.167127,882,0.382683,337.527,564,0.235375,197,1.48367,761,1.71905,1308.19
525,30,0.221152,0.116105,2.46795,1.29567,480,0.236171,339,0.184148,819,0.420319,344.241,523,0.259094,183,1.74687,706,2.00596,1416.21
550,30,0.236216,0.129919,2.72181,1.49699,449,0.259608,319,0.202195,768,0.461803,354.665,488,0.28285,172,2.03093,660,2.31379,1527.1
650,30,0.305791,0.198764,4.10098,2.66564,374,0.380655,267,0.286999,641,0.667654,427.966,400,0.405071,143,3.426,543,3.83107,2080.27
750,30,0.392739,0.294554,1077.64,808.233,334,0.539862,237,0.392902,571,0.932764,532.608,351,0.562174,126,5.29488,477,5.85705,2793.81
850,30,0.500875,0.425743,3231.79,2747.02,311,0.748687,219,0.523936,530,1.27262,674.49,321,0.761859,115,7.6906,436,8.45246,3685.27
950,30,0.634849,0.603106,5385.94,5116.64,296,1.00593,206,0.68241,502,1.68834,847.547,301,1.00845,108,10.6525,409,11.6609,4769.32
1000,30,0.714853,0.714853,6463.01,6463.01,290,1.14924,202,0.774751,492,1.92399,946.602,293,1.14827,105,12.3604,398,13.5087,5376.44
1050,30,0.847948,0.890346,7540.08,7917.09,284,1.31875,197,0.882468,481,2.20122,1058.79,286,1.31281,103,14.3196,389,15.6324,6081
1075,30,1.09669,1.17894,8078.62,8684.52,284,1.48717,195,0.97972,479,2.46689,1181.64,282,1.44477,102,15.7422,384,17.187,6599.8
1100,30,2.18052,2.39857,8617.16,9478.88,282,1.89782,193,1.25306,475,3.15088,1496.67,279,1.84308,100,19.21,379,21.053,7979.1
1125,30,7.218,8.12025,9155.71,10300.2,279,3.5335,189,2.35645,468,5.88995,2756.49,275,3.44745,99,31.9111,374,35.3585,13224.1
1150,30,27.1991,31.279,9694.3,11148.4,276,9.91337,186,6.64278,462,16.5562,7648.94,270,9.66005,98,80.8852,368,90.5452,33320.6
1175,30,80.3571,94.4196,10233.1,12023.9,273,26.9751,181,17.8612,454,44.8363,20355.7,264,26.0737,96,212.988,360,239.062,86062.3
1200,30,171.478,205.773,10773.2,12927.9,269,56.3326,177,37.0947,446,93.4273,41668.6,258,54.0684,94,444.913,352,498.981,175641
1250,30,480.953,601.192,11903.7,14879.7,262,157.443,167,101.164,429,258.607,110942,245,147.029,90,1269.09,335,1416.12,474400
