Vdd [mv],Temp [C],Leakage [mA],Leakage [mW],peak Current [mA],peakPwr [mW],rDelay [ps],rEnergy [pJ],rNull [ps],rnullEnergy [pJ],rCycle Total [ps],rCycleEgy Total [pJ],rCycle EDP [pJ*ps],wDelay [ps],Wenergy [pJ],Wnull [ps],WnullEnergy [pJ],WCycle Total [ps],WCycleEgy Total [pJ],wCycle EDP [pJ*ps]
250,30,0.502959,0.12574,2.73892,0.68473,3041,0.0983642,2845,0.104902,5886,0.203266,1196.43,2081,0.163891,2337,0.102235,4418,0.266127,1175.75
300,30,1.07429,0.322288,7.37616,2.21285,1473,0.0735155,1346,0.0807798,2819,0.154295,434.958,982,0.207624,1112,0.092889,2094,0.300513,629.274
310,30,1.25354,0.388596,8.67859,2.69036,1316,0.0713463,1200,0.0791121,2516,0.150458,378.553,873,0.221302,989,0.0934829,1862,0.314785,586.13
320,30,1.46297,0.46815,10.0945,3.23025,1184,0.0696599,1078,0.0779858,2262,0.147646,333.975,784,0.236736,890,0.0947922,1674,0.331528,554.978
330,30,1.70719,0.563374,11.609,3.83097,1074,0.068493,978,0.0775057,2052,0.145999,299.589,709,0.253949,806,0.0965055,1515,0.350454,530.938
340,30,0.192121,0.0653213,1.18193,0.401857,991,0.0683298,899,0.0796053,1890,0.147935,279.597,649,0.0429262,736,0.0996576,1385,0.142584,197.479
350,30,0.199688,0.0698907,1.31811,0.46134,912,0.0680729,830,0.0816839,1742,0.149757,260.876,597,0.0525955,676,0.103503,1273,0.156098,198.713
400,30,0.241526,0.0966104,2.07061,0.828245,648,0.0704115,590,0.0883346,1238,0.158746,196.528,422,0.0550697,481,0.121175,903,0.176245,159.149
450,30,0.290905,0.130907,2.97725,1.33976,507,0.0782713,460,0.0991754,967,0.177447,171.591,329,0.0501623,376,0.143673,705,0.193835,136.654
460,30,0.301791,0.138824,3.15528,1.45143,487,0.0804687,442,0.102405,929,0.182874,169.89,316,0.0515943,360,0.149098,676,0.200692,135.668
470,30,0.313036,0.147127,3.3415,1.5705,468,0.08273,426,0.105892,894,0.188622,168.628,304,0.0531006,347,0.154987,651,0.208087,135.465
480,30,0.324652,0.155833,3.52502,1.69201,452,0.0854579,412,0.111646,864,0.197104,170.297,293,0.0672568,335,0.163406,628,0.230663,144.856
490,30,0.336648,0.164957,3.71897,1.82229,436,0.087976,397,0.113298,833,0.201274,167.662,282,0.0562496,323,0.167277,605,0.223527,135.234
500,30,0.349035,0.174518,3.92462,1.96231,423,0.0911352,385,0.119526,808,0.210661,170.214,274,0.071602,313,0.176425,587,0.248027,145.592
510,30,0.361824,0.18453,4.10666,2.0944,409,0.0939317,372,0.121417,781,0.215349,168.188,265,0.0600227,303,0.180554,568,0.240577,136.648
520,30,0.375027,0.195014,4.33289,2.2531,398,0.0974556,363,0.128411,761,0.225867,171.885,257,0.0762135,294,0.190378,551,0.266592,146.892
530,30,0.388653,0.205986,4.50331,2.38676,387,0.10082,352,0.130623,739,0.231443,171.036,250,0.0640861,286,0.19482,536,0.258906,138.774
540,30,0.402714,0.217466,4.70704,2.5418,377,0.104503,343,0.135527,720,0.24003,172.822,243,0.0662007,279,0.202457,522,0.268658,140.239
550,30,0.417223,0.229473,4.91287,2.70208,367,0.108207,334,0.140496,701,0.248703,174.341,237,0.0685127,272,0.210235,509,0.278748,141.883
600,30,0.496893,0.298136,5.98448,3.59069,329,0.130411,301,0.169706,630,0.300118,189.074,212,0.0814517,244,0.253291,456,0.334743,152.643
650,30,0.589593,0.383235,7.22108,4.6937,302,0.158151,277,0.208384,579,0.366535,212.224,194,0.119253,225,0.309787,419,0.42904,179.768
850,30,1.12597,0.95707,12.6315,10.7368,242,0.330019,224,0.416226,466,0.746245,347.75,154,0.189516,184,0.597518,338,0.787033,266.017
950,30,1.52121,1.44515,16.3336,15.517,227,0.46445,212,0.592068,439,1.05652,463.811,144,0.311296,174,0.837333,318,1.14863,365.264
1100,30,2.81342,3.09477,23.0892,25.3982,211,0.858084,199,1.02253,410,1.88061,771.051,131,0.509775,163,1.33421,294,1.84399,542.132
1150,30,11.9746,13.7708,32.6105,37.5021,204,3.03419,194,3.1006,398,6.13479,2441.65,126,1.91644,158,3.02805,284,4.94449,1404.23
1200,30,57.7859,69.3431,77.0894,92.5072,195,13.7123,187,13.3624,382,27.0747,10342.6,120,8.60683,153,11.291,273,19.8979,5432.12
1250,30,135.262,169.077,220.243,275.304,185,31.3826,180,30.7334,365,62.116,22672.4,115,19.7081,149,25.6927,264,45.4008,11985.8
