Vdd [mv],Temp [C],Leakage [mA],Leakage [mW],peak Current [mA],peakPwr [mW],rDelay [ps],rEnergy [pJ],rNull [ps],rnullEnergy [pJ],rCycle Total [ps],rCycleEgy Total [pJ],rCycle EDP [pJ*ps],wDelay [ps],Wenergy [pJ],Wnull [ps],WnullEnergy [pJ],WCycle Total [ps],WCycleEgy Total [pJ],wCycle EDP [pJ*ps]
175,30,-0.0944794,-0.0165339,0.0873797,0.0152914,16484,0.0881421,14565,0.0839247,31049,0.172067,5342.5,12975,0.0528655,14793,0.0968252,27768,0.149691,4156.61
200,30,-0.0529696,-0.0105939,0.11015,0.0220299,9196,0.0618229,7842,0.0587905,17038,0.120613,2055.01,7086,0.0388252,8152,0.0774158,15238,0.116241,1771.28
250,30,0.0173801,0.00434501,0.325832,0.081458,3253,0.0346557,2756,0.0358154,6009,0.0704712,423.461,2476,0.0245064,2874,0.064205,5350,0.0887114,474.606
275,30,0.0328205,0.00902564,0.466221,0.128211,2157,0.0291143,1843,0.0321705,4000,0.0612848,245.139,1637,0.0216596,1913,0.0662186,3550,0.0878782,311.968
300,30,0.0408435,0.0122531,0.66251,0.198753,1540,0.0263689,1328,0.0311009,2868,0.0574699,164.824,1167,0.0205216,1373,0.0716662,2540,0.0921878,234.157
325,30,0.0456796,0.0148459,0.935923,0.304175,1168,0.0253132,1017,0.0316524,2185,0.0569655,124.47,885,0.0205146,1046,0.0795224,1931,0.100037,193.171
350,30,0.0496028,0.017361,1.25205,0.438216,930,0.0253647,816,0.0332905,1746,0.0586552,102.412,704,0.0212815,837,0.0892962,1541,0.110578,170.4
400,30,0.0572635,0.0229054,1.97104,0.788415,655,0.027615,583,0.0388871,1238,0.0665021,82.3296,497,0.0245086,598,0.113608,1095,0.138117,151.238
450,30,0.0656355,0.029536,2.57298,1.15784,510,0.0320321,458,0.0468716,968,0.0789037,76.3787,386,0.0294429,469,0.143491,855,0.172934,147.859
475,30,0.0701889,0.0333397,3.039,1.44352,461,0.0349141,416,0.0516678,877,0.0865819,75.9323,349,0.0325015,427,0.160507,776,0.193009,149.775
500,30,0.0749927,0.0374964,3.52208,1.76104,423,0.0382922,383,0.0569952,806,0.0952874,76.8017,320,0.035967,393,0.178868,713,0.214835,153.178
525,30,0.0800803,0.0420422,201.818,105.955,392,0.0421265,356,0.0628316,748,0.104958,78.5087,296,0.0398103,365,0.198594,661,0.238404,157.585
550,30,0.0854694,0.0470082,403.562,221.959,367,0.0464674,334,0.0692031,701,0.11567,81.085,276,0.0440473,343,0.219802,619,0.263849,163.323
650,30,0.110276,0.0716797,1210.54,786.848,300,0.0689148,276,0.10014,576,0.169055,97.3758,225,0.0654382,285,0.320153,510,0.385591,196.651
750,30,0.141247,0.105935,2017.51,1513.13,263,0.100461,244,0.140334,507,0.240794,122.083,196,0.0941872,254,0.448402,450,0.54259,244.165
850,30,0.179693,0.152739,2824.48,2400.81,239,0.142097,225,0.190822,464,0.332919,154.475,178,0.130986,235,0.609498,413,0.740484,305.82
950,30,0.22695,0.215603,3631.46,3449.88,224,0.195686,212,0.25241,436,0.448096,195.37,166,0.176514,223,0.809343,389,0.985857,383.498
1000,30,0.255341,0.255341,4034.94,4034.94,218,0.227494,207,0.287988,425,0.515482,219.08,161,0.203931,218,0.925386,379,1.12932,428.011
1050,30,0.307464,0.322838,4438.43,4660.35,213,0.267711,203,0.331489,416,0.5992,249.267,156,0.259092,214,1.05981,370,1.3189,487.992
1075,30,0.418307,0.44968,4640.17,4988.18,211,0.308545,201,0.37279,412,0.681334,280.71,153,0.321247,212,1.15017,365,1.47141,537.066
1100,30,0.915791,1.00737,4841.92,5326.11,208,0.438185,199,0.499556,407,0.937741,381.661,150,0.455821,209,1.32509,359,1.78091,639.346
1125,30,3.17885,3.57621,5043.66,5674.12,205,0.974828,196,1.01278,401,1.98761,797.032,146,0.882135,205,1.88999,351,2.77213,973.016
1150,30,11.3372,13.0378,5245.4,6032.21,202,2.87982,193,2.8301,395,5.70993,2255.42,143,2.26867,201,3.76668,344,6.03535,2076.16
1175,30,30.243,35.5355,5447.15,6400.4,198,7.27607,190,7.05915,388,14.3352,5562.06,140,5.40029,197,8.05205,337,13.4523,4533.44
1200,30,59.7198,71.6638,5648.89,6778.67,193,14.0587,186,13.6316,379,27.6903,10494.6,137,10.2406,193,14.742,330,24.9826,8244.26
1250,30,137.998,172.498,6052.38,7565.47,185,32.0941,178,30.9993,363,63.0934,22902.9,130,22.8115,187,32.9335,317,55.745,17671.2
