Vdd [mv],Temp [C],Leakage [mA],Leakage [mW],peak Current [mA],peakPwr [mW],rDelay [ps],rEnergy [pJ],rNull [ps],rnullEnergy [pJ],rCycle Total [ps],rCycleEgy Total [pJ],rCycle EDP [pJ*ps],wDelay [ps],Wenergy [pJ],Wnull [ps],WnullEnergy [pJ],WCycle Total [ps],WCycleEgy Total [pJ],wCycle EDP [pJ*ps]
400,30,0.243048,0.0972192,1.78543,0.714172,629,0.0755665,591,0.0937966, , , ,629,0.0755665,591,0.0937966, , , 
450,30,0.29257,0.131657,2.48947,1.12026,490,0.0844432,462,0.108556, , , ,490,0.0844432,462,0.108556, , , 
500,30,0.350887,0.175443,3.37974,1.68987,408,0.0988683,385,0.128742, , , ,408,0.0988683,385,0.128742, , , 
550,30,0.419327,0.23063,4.27726,2.35249,354,0.117207,335,0.153248, , , ,354,0.117207,335,0.153248, , , 
650,30,0.59272,0.385268,6.88851,4.47753,289,0.169802,275,0.216915, , , ,289,0.169802,275,0.216915, , , 
850,30,1.14824,0.976005,11.5531,9.82015,231,0.355749,222,0.435139, , , ,231,0.355749,222,0.435139, , , 
1000,30,1.91894,1.91894,17.332,17.332,210,0.612249,204,0.726155, , , ,210,0.612249,204,0.726155, , , 
1250,30,140.594,175.743,219.757,274.696,175,30.882,178,31.6342, , , ,175,30.882,178,31.6342, , , 
400,60,0.667468,0.266987,2.33443,0.933773,523,0.150712,511,0.174788, , , ,523,0.150712,511,0.174788, , , 
450,60,0.78834,0.354753,3.23435,1.45546,427,0.168835,413,0.195495, , , ,427,0.168835,413,0.195495, , , 
500,60,0.92728,0.46364,4.08479,2.0424,364,0.193242,352,0.224867, , , ,364,0.193242,352,0.224867, , , 
550,60,1.08652,0.597584,5.11371,2.81254,322,0.225904,311,0.261836, , , ,322,0.225904,311,0.261836, , , 
650,60,1.47598,0.959389,8.82712,5.73763,272,0.318841,261,0.362857, , , ,272,0.318841,261,0.362857, , , 
850,60,2.65199,2.25419,15.0069,12.7559,223,0.634263,215,0.707444, , , ,223,0.634263,215,0.707444, , , 
1000,60,4.13614,4.13614,21.1199,21.1199,204,1.05374,199,1.1656, , , ,204,1.05374,199,1.1656, , , 
1250,60,181.352,226.69,465.862,582.327,167,37.9279,174,39.744, , , ,167,37.9279,174,39.744, , , 
400,90,1.55902,0.623609,3.45345,1.38138,451,0.289409,452,0.32464, , , ,451,0.289409,452,0.32464, , , 
450,90,1.8094,0.814232,4.42492,1.99122,377,0.320969,376,0.3614, , , ,377,0.320969,376,0.3614, , , 
500,90,2.09081,1.0454,5.50278,2.75139,330,0.366364,326,0.409197, , , ,330,0.366364,326,0.409197, , , 
550,90,2.40666,1.32367,7.74538,4.25996,297,0.423796,293,0.469265, , , ,297,0.423796,293,0.469265, , , 
650,90,3.15838,2.05294,10.6969,6.95296,254,0.575652,250,0.63419, , , ,254,0.575652,250,0.63419, , , 
850,90,5.33362,4.53358,18.1113,15.3946,215,1.10364,210,1.18579, , , ,215,1.10364,210,1.18579, , , 
1000,90,8.03701,8.03701,24.3596,24.3596,198,1.79726,196,1.93416, , , ,198,1.79726,196,1.93416, , , 
1250,90,224.147,280.184,691.754,864.693,165,46.2205,178,50.1559, , , ,165,46.2205,178,50.1559, , , 
