Vdd [mv],Temp [C],Leakage [mA],Leakage [mW],peak Current [mA],peakPwr [mW],rDelay [ps],rEnergy [pJ],rNull [ps],rnullEnergy [pJ],rCycle Total [ps],rCycleEgy Total [pJ],rCycle EDP [pJ*ps],wDelay [ps],Wenergy [pJ],Wnull [ps],WnullEnergy [pJ],WCycle Total [ps],WCycleEgy Total [pJ],wCycle EDP [pJ*ps]

250,30,0.497515,0.124379,2.72292,0.68073,3061,0.0999089,3315,0.123195,6376,0.223104,1422.51,2086,0.149184,2351,0.0951882,4437,0.244373,1084.28
325,30,0.181617,0.0590255,0.868219,0.282171,1092,0.0675572,1159,0.0887242,2251,0.156281,351.79,747,0.0442989,847,0.0819857,1594,0.126285,201.298
450,30,0.291487,0.131169,2.49911,1.1246,481,0.0753277,506,0.106253,987,0.181581,179.22,329,0.0509057,375,0.114718,704,0.165624,116.599
475,30,0.319431,0.15173,2.8872,1.37142,435,0.0806951,459,0.115087,894,0.195782,175.029,298,0.0545805,341,0.125896,639,0.180477,115.325
500,30,0.349726,0.174863,3.28132,1.64066,400,0.0873955,422,0.125435,822,0.21283,174.947,273,0.0588032,313,0.138253,586,0.197056,115.475
525,30,0.382539,0.200833,3.82209,2.0066,371,0.0951614,393,0.14055,764,0.235711,180.084,253,0.0782177,290,0.154037,543,0.232254,126.114
675,30,0.64263,0.433775,6.87858,4.64304,274,0.164589,293,0.247265,567,0.411853,233.521,186,0.130396,216,0.272522,402,0.402918,161.973
850,30,1.12842,0.959157,11.3501,9.64759,227,0.303926,248,0.470561,475,0.774486,367.881,154,0.23059,183,0.509372,337,0.739962,249.367
1000,30,1.76443,1.76443,15.9255,15.9255,207,0.500996,229,0.775107,436,1.2761,556.381,140,0.3585,171,0.836895,311,1.19539,371.768
1125,30,4.88148,5.49167,22.9596,25.8296,196,1.28059,215,1.69451,411,2.9751,1222.77,129,0.946642,161,1.61502,290,2.56166,742.882

250,60,0.386436,0.096609,0.675064,0.168766,1895,0.176209,2142,0.217367,4037,0.393576,1588.86,1263,0.128392,1492,0.164442,2755,0.292834,806.758
325,60,0.51263,0.166605,1.33804,0.434862,826,0.138728,951,0.183877,1777,0.322605,573.269,570,0.104545,664,0.14619,1234,0.250734,309.406
450,60,0.786398,0.353879,3.19155,1.4362,421,0.158776,462,0.210596,883,0.369372,326.155,290,0.0994081,336,0.189625,626,0.289033,180.934
475,60,0.853619,0.405469,3.74082,1.77689,389,0.170942,428,0.233737,817,0.404679,330.623,267,0.127472,309,0.20914,576,0.336612,193.888
500,60,0.925624,0.462812,4.09974,2.04987,360,0.181717,392,0.242395,752,0.424112,318.932,247,0.112481,287,0.223823,534,0.336304,179.586
525,60,1.00268,0.526409,4.58658,2.40795,338,0.196106,367,0.262204,705,0.45831,323.109,232,0.120853,269,0.244102,501,0.364955,182.842
675,60,1.58685,1.07112,7.96415,5.3758,259,0.31916,282,0.435915,541,0.755075,408.495,177,0.19029,209,0.418273,386,0.608563,234.905
850,60,2.59515,2.20588,12.9437,11.0021,219,0.564313,242,0.787586,461,1.3519,623.225,149,0.323316,181,0.764941,330,1.08826,359.125
1000,60,3.83352,3.83352,18.7784,18.7784,202,0.913884,228,1.31661,430,2.2305,959.113,137,0.590389,171,1.27278,308,1.86317,573.855
1125,60,14.6725,16.5066,32.34,36.3825,190,3.34898,215,4.16917,405,7.51816,3044.85,126,2.30028,161,3.41236,287,5.71265,1639.53

250,90,0.944151,0.236038,1.3424,0.3356,1278,0.287911,1478,0.353442,2756,0.641353,1767.57,845,0.173454,1039,0.262,1884,0.435453,820.394
325,90,1.23044,0.399892,2.33251,0.758067,663,0.261326,783,0.33584,1446,0.597166,863.502,453,0.159189,540,0.250585,993,0.409774,406.905
450,90,1.811,0.814951,4.42113,1.98951,373,0.311819,432,0.409885,805,0.721704,580.971,260,0.188836,305,0.32498,565,0.513815,290.306
475,90,1.94875,0.925656,4.94878,2.35067,348,0.335812,405,0.44733,753,0.783142,589.706,242,0.235974,284,0.356487,526,0.592461,311.634
500,90,2.09467,1.04733,5.51507,2.75753,327,0.359093,379,0.47967,706,0.838763,592.167,227,0.250617,267,0.385848,494,0.636465,314.414
525,90,2.24913,1.18079,6.07597,3.18988,308,0.379391,353,0.501087,661,0.880477,581.996,214,0.226078,253,0.411033,467,0.637111,297.531
675,90,3.37755,2.27984,10.1694,6.86431,245,0.596258,277,0.790575,522,1.38683,723.927,169,0.3436,203,0.679248,372,1.02285,380.499
850,90,5.22989,4.44541,16.4608,13.9917,212,1.02054,241,1.36623,453,2.38676,1081.2,145,0.564728,180,1.21108,325,1.77581,577.139
1000,90,7.52012,7.52012,23.0774,23.0774,196,1.60147,226,2.15235,422,3.75382,1584.11,134,0.877625,172,1.9514,306,2.82902,865.681
1125,90,34.7594,39.1044,52.5117,59.0757,182,7.33313,218,9.16533,400,16.4985,6599.38,122,4.9591,163,7.07205,285,12.0311,3428.88

## Dist Run 2
195,30,0.0976172,0.0190354,0.190219,0.0370926,10164,0.182075,10416,0.199119,20580,0.381194,7844.98,6825,0.136592,7451,0.152052,14276,0.288644,4120.68
480,30,0.325296,0.156142,3.03184,1.45528,428,0.0821774,454,0.120246,882,0.202423,178.537,293,0.0680439,334,0.129782,627,0.197826,124.037
485,30,0.331257,0.16066,3.11152,1.50909,421,0.083528,446,0.12227,867,0.205798,178.427,287,0.0689202,328,0.132218,615,0.201138,123.7
490,30,0.337315,0.165284,3.12603,1.53175,413,0.0845722,435,0.120979,848,0.205552,174.308,282,0.0569914,323,0.133071,605,0.190063,114.988
495,30,0.343471,0.170018,3.20443,1.58619,406,0.0858989,428,0.123112,834,0.209011,174.315,278,0.0579755,318,0.13565,596,0.193626,115.401
500,30,0.349726,0.174863,3.29492,1.64746,400,0.0873955,422,0.125435,822,0.21283,174.947,273,0.0588032,313,0.138253,586,0.197056,115.475
505,30,0.356081,0.179821,3.46378,1.74921,394,0.089022,418,0.131063,812,0.220085,178.709,269,0.0734173,308,0.142774,577,0.216191,124.742
510,30,0.362539,0.184895,3.45573,1.76242,387,0.0901864,409,0.129921,796,0.220108,175.206,264,0.0605906,303,0.143509,567,0.2041,115.724
195,60,0.280977,0.0547905,0.384485,0.0749746,4651,0.239564,5987,0.324743,10638,0.564307,6003.1,3139,0.150994,4110,0.231849,7249,0.382843,2775.23
480,60,0.867629,0.416462,3.72961,1.79021,382,0.171944,417,0.228738,799,0.400682,320.145,263,0.107114,304,0.209063,567,0.316176,179.272
485,60,0.881832,0.427688,3.81738,1.85143,376,0.174212,410,0.231852,786,0.406064,319.166,259,0.108489,299,0.212414,558,0.320904,179.064
490,60,0.896231,0.439153,3.90833,1.91508,371,0.176889,404,0.235399,775,0.412287,319.523,255,0.109844,295,0.216202,550,0.326046,179.325
495,60,0.910827,0.45086,4.00606,1.983,365,0.179089,398,0.238894,763,0.417982,318.92,251,0.111175,291,0.220005,542,0.33118,179.5
500,60,0.925624,0.462812,4.09974,2.04987,360,0.181717,392,0.242395,752,0.424112,318.932,247,0.112481,287,0.223823,534,0.336304,179.586
505,60,0.940623,0.475015,4.19427,2.11811,355,0.184322,387,0.246349,742,0.430672,319.558,244,0.114172,283,0.227647,527,0.341818,180.138
510,60,0.955826,0.487471,4.4456,2.26726,352,0.188859,385,0.259601,737,0.44846,330.515,241,0.13965,279,0.235525,520,0.375175,195.091
480,90,1.97727,0.949089,5.06125,2.4294,344,0.340785,399,0.453103,743,0.793888,589.859,239,0.238988,281,0.36273,520,0.601719,312.894
485,90,2.00611,0.972966,5.17012,2.50751,339,0.344652,394,0.459796,733,0.804448,589.66,236,0.241963,277,0.368022,513,0.609984,312.922
490,90,2.03529,0.997294,5.27439,2.58445,334,0.344981,384,0.454048,718,0.79903,573.703,233,0.207588,274,0.36765,507,0.575238,291.645
495,90,2.06481,1.02208,5.39135,2.66872,330,0.349712,379,0.460227,709,0.809938,574.246,230,0.210063,270,0.372778,500,0.582841,291.42
500,90,2.09467,1.04733,5.51507,2.75753,327,0.359093,379,0.47967,706,0.838763,592.167,227,0.250617,267,0.385848,494,0.636465,314.414
505,90,2.12486,1.07306,5.63328,2.84481,323,0.363788,374,0.486247,697,0.850035,592.474,225,0.254515,264,0.392152,489,0.646667,316.22
510,90,2.1554,1.09926,5.73168,2.92316,319,0.364761,365,0.479601,684,0.844362,577.544,222,0.218196,261,0.391261,483,0.609457,294.368
