R_Addr, R1[31:0], R0[31:0], total_time(ps), read_delay(ps)
7f, 00000000, 00000000,                 1252,                  252
7f, 00000000, 00000000,                 1500,                  248
01, 00000000, 00000000,                 1750,                  250
01, 00000000, 00000000,                 1998,                  248
72, ffffffff, 00000000,                 2250,                  252
72, 00000000, 00000000,                 2498,                  248
12, 00000000, 00000000,                 2747,                  249
12, 00000000, 00000000,                 2996,                  249
42, fffffffe, 00000001,                 3248,                  252
42, 00000000, 00000000,                 3496,                  248
0c, 76d457ed, 892ba812,                 3745,                  249
0c, 00000000, 00000000,                 3990,                  245
46, 7cfde9f9, 83021606,                 4242,                  252
46, 00000000, 00000000,                 4491,                  249
08, fffffffe, 00000001,                 4739,                  248
08, 00000000, 00000000,                 4983,                  244
0f, 8932d612, 76cd29ed,                 5229,                  246
0f, 00000000, 00000000,                 5477,                  248
3a, fffffffe, 00000001,                 5727,                  250
3a, 00000000, 00000000,                 5974,                  247
3d, 2e58495c, d1a7b6a3,                 6220,                  246
3d, 00000000, 00000000,                 6468,                  248
65, 96ab582d, 6954a7d2,                 6721,                  253
65, 00000000, 00000000,                 6970,                  249
5f, fffffffe, 00000001,                 7218,                  248
5f, 00000000, 00000000,                 7466,                  248
1d, 557845aa, aa87ba55,                 7715,                  249
1d, 00000000, 00000000,                 7962,                  247
2c, fffffffe, 00000001,                 8211,                  249
2c, 00000000, 00000000,                 8455,                  244
55, 359fdd6b, ca602294,                 8708,                  253
55, 00000000, 00000000,                 8956,                  248
2e, 00000000, 00000000,                 9207,                  251
2e, 00000000, 00000000,                 9456,                  249
75, ffffffff, 00000000,                 9708,                  252
75, 00000000, 00000000,                 9955,                  247
3c, e5730aca, 1a8cf535,                10204,                  249
3c, 00000000, 00000000,                10450,                  246
27, fffffffe, 00000001,                10696,                  246
27, 00000000, 00000000,                10944,                  248
09, 3c20f378, c3df0c87,                11192,                  248
09, 00000000, 00000000,                11439,                  247
36, 75c50deb, 8a3af214,                11690,                  251
36, 00000000, 00000000,                11939,                  249
55, 359fdd6b, ca602294,                12192,                  253
55, 00000000, 00000000,                12440,                  248
71, 85d79a0b, 7a2865f4,                12691,                  251
71, 00000000, 00000000,                12940,                  249
