Vdd [mv],Leakage [nA]
400,4.62677,10130
410,4.78034,8264
420,4.73284,6831
430,4.88909,5712
440,4.86935,4840
450,5.13351,4152
460,5.21184,3605
470,5.30495,3165
480,5.74123,2804
490,6.05263,2510
500,6.40406,2264
510,6.88477,2058
520,7.45171,1884
530,8.37428,1735
540,8.69006,1607
550,9.39983,1496
560,10.3459,1398
570,11.3118,1313
580,12.2767,1238
590,13.5194,1171
600,15.2892,1111
610,16.6052,1057
620,18.045,1008
630,19.5472,965
640,21.2183,925
650,20.4569,888
660,21.8746,855
670,23.3806,825
680,24.9239,796
690,26.5236,770
700,26.3047,746
710,27.7306,724
720,29.2055,703
730,28.8071,684
740,30.1923,666
750,31.6117,649
760,33.1299,633
770,33.2417,618
780,34.6754,604
790,36.1581,591
800,36.8436,579
810,38.3611,567
820,39.9615,556
830,41.0735,545
840,42.7482,535
850,44.1301,526
860,45.696,517
870,47.5947,509
880,49.5942,500
890,51.6104,493
900,53.9548,485
910,56.1118,478
920,58.4069,472
930,60.7569,465
940,63.128,459
950,65.6662,453
960,68.2082,448
970,71.2295,442
980,74.0416,437
990,76.8556,432
1000,79.8413,427
