00000000, ffffffff, 00000000, ffffffff, 0, 1, 00000000, ffffffff, 0, 1,                 4166                 2166
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 6824                 2658
ffffffff, 00000000, ffffffff, 00000000, 1, 0, ffffffff, 00000000, 1, 0,                 9001                 2177
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                11728                 2727
fffffffe, 00000001, fffffffe, 00000001, 1, 0, fffffffd, 00000002, 1, 0,                13893                 2165
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                16597                 2704
aaaaaaaa, 55555555, 55555555, aaaaaaaa, 1, 0, 00000000, ffffffff, 1, 0,                26879                10282
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                29578                 2699
55555555, aaaaaaaa, 55555555, aaaaaaaa, 0, 1, aaaaaaaa, 55555555, 0, 1,                31689                 2111
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                34264                 2575
aaaaaaaa, 55555555, aaaaaaaa, 55555555, 1, 0, 55555555, aaaaaaaa, 1, 0,                36373                 2109
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                38953                 2580
fffffffe, 00000001, fffffffe, 00000001, 1, 0, fffffffd, 00000002, 1, 0,                41116                 2163
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                43820                 2704
ffffffff, 00000000, ffffffff, 00000000, 0, 1, fffffffe, 00000001, 1, 0,                45999                 2179
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                48721                 2722
55555555, aaaaaaaa, 55555555, aaaaaaaa, 1, 0, aaaaaaab, 55555554, 0, 1,                50806                 2085
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                53377                 2571
aaaaaaaa, 55555555, aaaaaaaa, 55555555, 0, 1, 55555554, aaaaaaab, 1, 0,                55490                 2113
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                58071                 2581
55555555, aaaaaaaa, aaaaaaaa, 55555555, 1, 0, 00000000, ffffffff, 1, 0,                68379                10308
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                71078                 2699
80054600, 7ffab9ff, 12153524, edeacadb, 1, 0, 921a7b25, 6de584da, 0, 1,                73802                 2724
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                76435                 2633
0dbb5f1b, f244a0e4, 8484d609, 7b7b29f6, 1, 0, 92403525, 6dbfcada, 0, 1,                80259                 3824
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                82902                 2643
df5808be, 20a7f741, 06b97b0d, f94684f2, 1, 0, e61183cc, 19ee7c33, 0, 1,                85926                 3024
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                88538                 2612
58fa57b1, a705a84e, b2c28465, 4d3d7b9a, 0, 1, 0bbcdc16, f44323e9, 1, 0,                91571                 3033
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                94176                 2605
4b62f396, b49d0c69, 00f3e301, ff0c1cfe, 1, 0, 4c56d698, b3a92967, 0, 1,                96895                 2719
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                99516                 2621
5672d3ac, a98d2c53, 3b23f176, c4dc0e89, 1, 0, 9196c523, 6e693adc, 0, 1,               102072                 2556
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               104722                 2650
e02d82c0, 1fd27d3f, 76d457ed, 892ba812, 0, 1, 5701daad, a8fe2552, 1, 0,               107973                 3251
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               110603                 2630
54e83ba9, ab17c456, 7cfde9f9, 83021606, 0, 1, d1e625a2, 2e19da5d, 0, 1,               113337                 2734
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               115994                 2657
01d77d03, fe2882fc, e2f784c5, 1d087b3a, 0, 1, e4cf01c8, 1b30fe37, 0, 1,               119280                 3286
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               121930                 2650
e66ececc, 19913133, 72aff7e5, 8d50081a, 1, 0, 591ec6b2, a6e1394d, 1, 0,               124664                 2734
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               127310                 2646
f36cd6e6, 0c932919, 8932d612, 76cd29ed, 1, 0, 7c9facf9, 83605306, 1, 0,               130307                 2997
