W_Addr, W1[31:0], W0[31:0], total_time(ps), write_delay(ps)
01, 12153524, edeacadb,                 1145,                  145
01, 00000000, 00000000,                 1314,                  169
03, 8484d609, 7b7b29f6,                 1457,                  143
03, 00000000, 00000000,                 1627,                  170
0d, 06b97b0d, f94684f2,                 1773,                  146
0d, 00000000, 00000000,                 1941,                  168
12, b2c28465, 4d3d7b9a,                 2089,                  148
12, 00000000, 00000000,                 2259,                  170
0d, 00f3e301, ff0c1cfe,                 2408,                  149
0d, 00000000, 00000000,                 2576,                  168
1d, 3b23f176, c4dc0e89,                 2726,                  150
1d, 00000000, 00000000,                 2894,                  168
0c, 76d457ed, 892ba812,                 3043,                  149
0c, 00000000, 00000000,                 3210,                  167
06, 7cfde9f9, 83021606,                 3355,                  145
06, 00000000, 00000000,                 3525,                  170
0a, e2f784c5, 1d087b3a,                 3670,                  145
0a, 00000000, 00000000,                 3840,                  170
17, 72aff7e5, 8d50081a,                 3988,                  148
17, 00000000, 00000000,                 4158,                  170
0f, 8932d612, 76cd29ed,                 4305,                  147
0f, 00000000, 00000000,                 4475,                  170
0e, 793069f2, 86cf960d,                 4620,                  145
0e, 00000000, 00000000,                 4789,                  169
05, f4007ae8, 0bff8517,                 4935,                  146
05, 00000000, 00000000,                 5104,                  169
1d, 2e58495c, d1a7b6a3,                 5255,                  151
1d, 00000000, 00000000,                 5423,                  168
05, 96ab582d, 6954a7d2,                 5571,                  148
05, 00000000, 00000000,                 5740,                  169
0a, b1ef6263, 4e109d9c,                 5885,                  145
0a, 00000000, 00000000,                 6055,                  170
00, c03b2280, 3fc4dd7f,                 6201,                  146
00, 00000000, 00000000,                 6368,                  167
1d, 557845aa, aa87ba55,                 6519,                  151
1d, 00000000, 00000000,                 6687,                  168
13, cb203e96, 34dfc169,                 6830,                  143
13, 00000000, 00000000,                 7000,                  170
13, 86bc380d, 7943c7f2,                 7143,                  143
13, 00000000, 00000000,                 7313,                  170
15, 359fdd6b, ca602294,                 7459,                  146
15, 00000000, 00000000,                 7628,                  169
0e, 81174a02, 7ee8b5fd,                 7776,                  148
0e, 00000000, 00000000,                 7945,                  169
0f, 0effe91d, f10016e2,                 8089,                  144
0f, 00000000, 00000000,                 8259,                  170
0a, 11844923, ee7bb6dc,                 8404,                  145
0a, 00000000, 00000000,                 8574,                  170
1c, e5730aca, 1a8cf535,                 8725,                  151
1c, 00000000, 00000000,                 8892,                  167
0a, 7968bdf2, 8697420d,                 9040,                  148
0a, 00000000, 00000000,                 9210,                  170
18, 20c4b341, df3b4cbe,                 9361,                  151
18, 00000000, 00000000,                 9528,                  167
09, 3c20f378, c3df0c87,                 9676,                  148
09, 00000000, 00000000,                 9844,                  168
16, 75c50deb, 8a3af214,                 9993,                  149
16, 00000000, 00000000,                10163,                  170
0e, 634bf9c6, 9cb40639,                10311,                  148
0e, 00000000, 00000000,                10480,                  169
0a, de7502bc, 218afd43,                10625,                  145
0a, 00000000, 00000000,                10795,                  170
11, 85d79a0b, 7a2865f4,                10944,                  149
11, 00000000, 00000000,                11113,                  169
0f, 42f24185, bd0dbe7a,                11260,                  147
0f, 00000000, 00000000,                11430,                  170
1a, 9dcc603b, 62339fc4,                11579,                  149
1a, 00000000, 00000000,                11749,                  170
15, bf23327e, 40dccd81,                11896,                  147
15, 00000000, 00000000,                12065,                  169
19, 78d99bf1, 8726640e,                12211,                  146
19, 00000000, 00000000,                12379,                  168
0c, 31230762, cedcf89d,                12529,                  150
0c, 00000000, 00000000,                12696,                  167
0f, 4fa1559f, b05eaa60,                12839,                  143
