W_Addr, W1[31:0], W0[31:0], total_time(ps), write_delay(ps)
01, 12153524, edeacadb,                 1232,                  232
01, 00000000, 00000000,                 1488,                  256
03, 8484d609, 7b7b29f6,                 1717,                  229
03, 00000000, 00000000,                 1973,                  256
0d, 06b97b0d, f94684f2,                 2208,                  235
0d, 00000000, 00000000,                 2466,                  258
12, b2c28465, 4d3d7b9a,                 2704,                  238
12, 00000000, 00000000,                 2962,                  258
0d, 00f3e301, ff0c1cfe,                 3200,                  238
0d, 00000000, 00000000,                 3458,                  258
1d, 3b23f176, c4dc0e89,                 3699,                  241
1d, 00000000, 00000000,                 3958,                  259
0c, 76d457ed, 892ba812,                 4196,                  238
0c, 00000000, 00000000,                 4452,                  256
06, 7cfde9f9, 83021606,                 4684,                  232
06, 00000000, 00000000,                 4942,                  258
0a, e2f784c5, 1d087b3a,                 5175,                  233
0a, 00000000, 00000000,                 5434,                  259
17, 72aff7e5, 8d50081a,                 5671,                  237
17, 00000000, 00000000,                 5929,                  258
0f, 8932d612, 76cd29ed,                 6164,                  235
0f, 00000000, 00000000,                 6422,                  258
0e, 793069f2, 86cf960d,                 6654,                  232
0e, 00000000, 00000000,                 6913,                  259
05, f4007ae8, 0bff8517,                 7147,                  234
05, 00000000, 00000000,                 7404,                  257
1d, 2e58495c, d1a7b6a3,                 7645,                  241
1d, 00000000, 00000000,                 7904,                  259
05, 96ab582d, 6954a7d2,                 8142,                  238
05, 00000000, 00000000,                 8399,                  257
0a, b1ef6263, 4e109d9c,                 8632,                  233
0a, 00000000, 00000000,                 8891,                  259
00, c03b2280, 3fc4dd7f,                 9125,                  234
00, 00000000, 00000000,                 9379,                  254
1d, 557845aa, aa87ba55,                 9620,                  241
1d, 00000000, 00000000,                 9879,                  259
13, cb203e96, 34dfc169,                10110,                  231
13, 00000000, 00000000,                10366,                  256
13, 86bc380d, 7943c7f2,                10596,                  230
13, 00000000, 00000000,                10852,                  256
15, 359fdd6b, ca602294,                11086,                  234
15, 00000000, 00000000,                11344,                  258
0e, 81174a02, 7ee8b5fd,                11581,                  237
0e, 00000000, 00000000,                11840,                  259
0f, 0effe91d, f10016e2,                12071,                  231
0f, 00000000, 00000000,                12329,                  258
0a, 11844923, ee7bb6dc,                12562,                  233
0a, 00000000, 00000000,                12821,                  259
1c, e5730aca, 1a8cf535,                13063,                  242
1c, 00000000, 00000000,                13321,                  258
0a, 7968bdf2, 8697420d,                13557,                  236
0a, 00000000, 00000000,                13816,                  259
18, 20c4b341, df3b4cbe,                14057,                  241
18, 00000000, 00000000,                14314,                  257
09, 3c20f378, c3df0c87,                14551,                  237
09, 00000000, 00000000,                14809,                  258
16, 75c50deb, 8a3af214,                15047,                  238
16, 00000000, 00000000,                15307,                  260
0e, 634bf9c6, 9cb40639,                15544,                  237
0e, 00000000, 00000000,                15803,                  259
0a, de7502bc, 218afd43,                16036,                  233
0a, 00000000, 00000000,                16295,                  259
11, 85d79a0b, 7a2865f4,                16534,                  239
11, 00000000, 00000000,                16791,                  257
0f, 42f24185, bd0dbe7a,                17026,                  235
0f, 00000000, 00000000,                17284,                  258
1a, 9dcc603b, 62339fc4,                17523,                  239
1a, 00000000, 00000000,                17783,                  260
15, bf23327e, 40dccd81,                18018,                  235
15, 00000000, 00000000,                18276,                  258
19, 78d99bf1, 8726640e,                18511,                  235
19, 00000000, 00000000,                18770,                  259
0c, 31230762, cedcf89d,                19009,                  239
0c, 00000000, 00000000,                19266,                  257
0f, 4fa1559f, b05eaa60,                19496,                  230
0f, 00000000, 00000000,                19754,                  258
17, 7c6da9f8, 83925607,                19991,                  237
17, 00000000, 00000000,                20249,                  258
1c, cfc4569f, 303ba960,                20485,                  236
1c, 00000000, 00000000,                20742,                  257
09, adcbc05b, 52343fa4,                20980,                  238
09, 00000000, 00000000,                21238,                  258
10, a4ae3249, 5b51cdb6,                21478,                  240
10, 00000000, 00000000,                21733,                  255
11, ebfec0d7, 14013f28,                21965,                  232
11, 00000000, 00000000,                22222,                  257
0c, 4b212f96, b4ded069,                22461,                  239
0c, 00000000, 00000000,                22717,                  256
08, e12ccec2, 1ed3313d,                22952,                  235
08, 00000000, 00000000,                23208,                  256
1d, bb825a77, 447da588,                23449,                  241
1d, 00000000, 00000000,                23708,                  259
1e, 090cdb12, f6f324ed,                23941,                  233
1e, 00000000, 00000000,                24201,                  260
19, 36e5816d, c91a7e92,                24436,                  235
19, 00000000, 00000000,                24695,                  259
13, 0fd28f1f, f02d70e0,                24925,                  230
13, 00000000, 00000000,                25181,                  256
18, 42d92f85, bd26d07a,                25417,                  236
18, 00000000, 00000000,                25674,                  257
09, 2dda595b, d225a6a4,                25911,                  237
09, 00000000, 00000000,                26169,                  258
0a, 9ff2ae3f, 600d51c0,                26401,                  232
0a, 00000000, 00000000,                26660,                  259
06, 2c156358, d3ea9ca7,                26893,                  233
06, 00000000, 00000000,                27151,                  258
1c, c71a0c8e, 38e5f371,                27393,                  242
1c, 00000000, 00000000,                27650,                  257
06, 7d3599fa, 82ca6605,                27886,                  236
06, 00000000, 00000000,                28144,                  258
03, 39961773, c669e88c,                28374,                  230
03, 00000000, 00000000,                28629,                  255
13, 9799a82f, 686657d0,                28865,                  236
13, 00000000, 00000000,                29121,                  256
